GMID,Dataset,Facility Name,Address,數據集,設施名稱,地址,District,地區,Opening Hours,開放時間,Telephone,聯絡電話,Fax Number,傳真號碼,Email Address,電郵地址,Website,網頁,Scope of Services,服務範圍,Remarks,備註,Northing,Easting,Latitude,Longitude,Last Update
"C1rczVoBiN","Post Offices","Cheung Chau Post Office","G/F, Regional Council Cheung Chau Complex, 2 Tai Hing Tai Road, Cheung Chau","郵政局","長洲郵政局","大興堤路2號長洲市政大廈地下","ISLANDS DISTRICT","離島區","9:00 a.m. - 4:30 p.m. Mon to Fri<br>9:00 a.m. - 12:30 p.m. Sat","星期一至星期五上午九時至下午四時三十分<br>星期六上午九時至下午十二時三十分","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>P.O. Box<br>Philately","一般郵政服務<br>郵政信箱<br>集郵","","","807585.0","820953.0","22.20682","114.02835","2009-06-27 03:28:11"
"ZUnC6uMhu5","Post Offices","Hing Man Street Post Office","G/F, Shop 1, Wing Hing Court, 50-52 Hing Man Street, Sai Wan Ho","郵政局","興民街郵政局","西灣河興民街50-52號永興閣地下1號舖位","EASTERN","東區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","","","815796.0","841110.0","22.28103","114.22386","2009-03-09 20:24:46"
"wAQ9c9mdB0","Post Offices","King's Road Post Office","Shops 204-205A and 208-210, 2/F., Olympia Plaza, 255 King's Road, North Point","郵政局","英皇道郵政局","北角英皇道255號國都廣場二樓204至205A及208至210號舖","EASTERN","東區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>Bulk Posting Acceptance & Circular Service<br>P.O. Box<br>Philately","一般郵政服務<br>大量投寄 & 通函郵寄服務<br>郵政信箱<br>集郵","","","816759.0","838073.0","22.28973","114.19439","2009-03-09 20:24:46"
"ZRTxfgdxj9","Post Offices","Shau Kei Wan Post Office","G/F, Perfect Mount Gardens, 1 Po Man Street, Shau Kei Wan","郵政局","筲箕灣郵政局","筲箕灣寶文街1號峻峰花園地下","EASTERN","東區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>Bulk Posting Acceptance & Circular Service<br>P.O. Box<br>Philately","一般郵政服務<br>大量投寄 & 通函郵寄服務<br>郵政信箱<br>集郵","","","815576.0","841668.0","22.27904","114.22927","2009-03-09 20:24:46"
"wMalwU3LeX","Post Offices","Siu Sai Wan Post Office","Unit 1-2, G/F, Sui Yick House, Siu Sai Wan Estate, Chai Wan","郵政局","小西灣郵政局","柴灣小西灣邨瑞益樓地下1至2號舖位","EASTERN","東區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","","","813831.0","843606.0","22.26328","114.24807","2009-03-09 20:24:46"
"VFfNKMxQjS","Post Offices","Gloucester Road Post Office","1/F, Revenue Tower, 5 Gloucester Road, Wan Chai","郵政局","告士打道郵政局","灣仔告士打道5號稅務大樓1樓","WAN CHAI","灣仔區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>Bulk Posting Acceptance & Circular Service<br>P.O. Box","一般郵政服務<br>大量投寄 & 通函郵寄服務<br>郵政信箱","","","815637.0","835749.0","22.2796","114.17184","2009-03-09 20:24:46"
"QY9AkqUdHh","Post Offices","Happy Valley Post Office","G/F, 14-16 Sing Woo Road, Happy Valley","郵政局","跑馬地郵政局","跑馬地成和道14至16號地下","WAN CHAI","灣仔區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","","","814352.0","837271.0","22.268","114.18661","2009-03-09 20:24:46"
"3gbJjBT9rF","Post Offices","Tai Koo Shing Post Office","Shop G1020-1022, G/F, Kam Sing Mansion, 1-3 Tai Fung Avenue, Taikoo Shing","郵政局","太古城郵政局","太古城太豐路1至3號金星閣地下G1020至1022號舖位","EASTERN","東區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>Philately","一般郵政服務<br>集郵","","","816423.0","840570.0","22.28669","114.21862","2009-03-09 20:24:46"
"fiSQZdqUAi","Post Offices","Tsat Tsz Mui Post Office","Shops 1, 6, 7 & 11, G/F, Block C, Model Housing Estate, 770 King's Road, North Point","郵政局","七姊妹郵政局","北角英皇道770號模範邨C座地下1,6,7及11號舖位","EASTERN","東區","9:30 a.m. - 5:30 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時三十分<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>P.O. Box","一般郵政服務<br>郵政信箱","","","816862.0","839572.0","22.29066","114.20894","2009-03-09 20:24:46"
"snAKSpbdgK","Post Offices","Hing Fat Street Post Office","G/F, Causeway Bay Kaifong Welfare Association Building, 30 Hing Fat Street","郵政局","興發街郵政局","興發街30號銅鑼灣街坊福利會大廈地下","EASTERN","東區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>P.O. Box","一般郵政服務<br>郵政信箱","","","816056.0","837752.0","22.28339","114.19127","2009-03-09 20:24:46"
"XSvRi533Tn","Post Offices","Morrison Hill Post Office","G/F, 28 Oi Kwan Road, Wan Chai","郵政局","摩理臣山郵政局","灣仔愛群道28號","WAN CHAI","灣仔區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>Bulk Posting Acceptance & Circular Service<br>P.O. Box","一般郵政服務<br>大量投寄 & 通函郵寄服務<br>郵政信箱","","","815241.0","836549.0","22.27603","114.1796","2009-03-09 20:24:46"
"ybNweO8th6","Post Offices","Wan Chai Post Office","2/F Wu Chung House, 197-213 Queen's Road East","郵政局","灣仔郵政局","皇后大道東197至213號胡忠大廈2樓","WAN CHAI","灣仔區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>Bulk Posting Acceptance & Circular Service<br>P.O. Box<br>Philately","一般郵政服務<br>大量投寄 & 通函郵寄服務<br>郵政信箱<br>集郵","","","815063.0","835842.0","22.27442","114.17274","2009-03-09 20:24:46"
"0EQKLinKNp","Post Offices","Fo Tan Post Office","G/F, Shatin Galleria, 18-24 Shan Mei Street, Fo Tan, Sha Tin","郵政局","火炭郵政局","沙田火炭山尾街18至24號沙田商業中心地下","SHA TIN","沙田區","9:30 a.m. - 5:30 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時三十分<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>Bulk Posting Acceptance & Circular Service<br>P.O. Box","一般郵政服務<br>大量投寄 & 通函郵寄服務<br>郵政信箱","","","828660.0","837959.0","22.39721","114.1933","2009-03-09 20:24:46"
"q8SqITVNIs","Post Offices","Kwai Fong Post Office","Shop No. 4-10, G/F, Kwai Kin House, Kwai Fong Estate","郵政局","葵芳郵政局","葵芳邨葵健樓地下4至10號舖位","KWAI TSING","葵青區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>Bulk Posting Acceptance & Circular Service","一般郵政服務<br>大量投寄 & 通函郵寄服務","","","824547.0","831341.0","22.36006","114.12904","2009-03-09 20:24:46"
"vcoKwHkiQv","Post Offices","Sai Ying Pun Post Office","27 Pok Fu Lam Road","郵政局","西營盤郵政局","薄扶林道27號","CENTRAL AND WESTERN","中西區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>P.O. Box","一般郵政服務<br>郵政信箱","","","816342.0","832456.0","22.28596","114.13988","2009-03-09 20:24:46"
"qiMm8aBP48","Post Offices","Sheung Wan Post Office","1/F, Hong Kong Telecom CSL Tower, 322-324 Des Voeux Road Central","郵政局","上環郵政局","德輔道中322至324號香港電訊CSL中心1樓","CENTRAL AND WESTERN","中西區","9.30 a.m. - 6:00 p.m. Mon to Fri<br>9.30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午六時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>P.O. Box<br>Philately","一般郵政服務<br>郵政信箱<br>集郵","","","816430.0","833524.0","22.28676","114.15025","2009-03-09 20:24:46"
"vuDmkOhvF6","Post Offices","Discovery Bay Post Office","Shop 12A, G/F, Block C, Discovery Bay Plaza, Discovery Bay, Lantau Island","郵政局","愉景灣郵政局","大嶼山愉景灣愉景廣場C座地舖12A號","ISLANDS DISTRICT","離島區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","","","817428.0","819697.0","22.2957","114.01606","2009-03-09 20:24:46"
"Qn5exqnWFG","Post Offices","Lamma Post Office","G/F & 1/F, 2 Main Street, Yung Shu Wan, Lamma Island","郵政局","南丫郵政局","南丫島榕樹灣榕樹灣大街2號地下及1樓","ISLANDS DISTRICT","離島區","8:30 a.m. - 4:00 p.m. Mon to Fri<br>8:30 a.m. - 12:00 noon Sat","星期一至星期五上午八時三十分至下午四時<br>星期六上午八時三十分至中午十二時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>P.O. Box","一般郵政服務<br>郵政信箱","","","809814.0","829415.0","22.227","114.1104","2009-03-09 20:24:46"
"L4SIJE81a6","Post Offices","Mui Wo Post Office","G/F, Mui Wo Government Offices Building, 2 Ngan Kwong Wan Road, Mui Wo","郵政局","梅窩郵政局","梅窩銀礦灣道2號梅窩政府合署地下","ISLANDS DISTRICT","離島區","9:00 a.m. - 4:30 p.m. Mon to Fri<br>9:00 a.m. - 12:30 p.m. Sat","星期一至星期五上午九時至下午四時三十分<br>星期六上午九時至下午十二時三十分","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>P.O. Box","一般郵政服務<br>郵政信箱","","","814154.0","817829.0","22.26611","113.99797","2009-03-09 20:24:46"
"oIbrxgsszp","Post Offices","Peng Chau Post Office","G/F, Government Building, Wing On Street","郵政局","坪洲郵政局","永安橫街政府合署大廈地下","ISLANDS DISTRICT","離島區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>P.O. Box","一般郵政服務<br>郵政信箱","","","816178.0","822015.0","22.28443","114.03857","2009-03-09 20:24:46"
"m4M6EwpaH0","Post Offices","Tai O Post Office","G/F, Tai O Government Building, 102 Shek Tsai Po St., Tai O, Lantau Island","郵政局","大澳郵政局","大嶼山大澳石仔埗街102號大澳政府合署地下","ISLANDS DISTRICT","離島區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>P.O. Box","一般郵政服務<br>郵政信箱","","","812964.0","803636.0","22.25515","113.8603","2009-03-09 20:24:46"
"K9M0iAnRc8","Post Offices","Tung Chung Post Office","G/F, 6 Mei Tung Street Tung Chung","郵政局","東涌郵政局","大嶼山東涌美東街6號地下","ISLANDS DISTRICT","離島區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>P.O. Box","一般郵政服務<br>郵政信箱","","","816719.0","811790.0","22.2892","113.93934","2009-03-09 20:24:46"
"iTfyHbpJdg","Post Offices","Tin Yuet Post Office","Unit 1, G/F, Wing B, Yuet Tai House, Tin Yuet Estate,Tin Shui Wai","郵政局","天悅郵政局","天水圍天悅邨悅泰樓B翼地下一號","YUEN LONG","元朗區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","","","835936.0","817980.0","22.46281","113.99919","2009-03-09 20:24:46"
"Py2uErJU8Y","Post Offices","Shek Wu Hui Post Office","112-116 San Fung Avenue, Shek Wu Hui, Sheung Shui","郵政局","石湖墟郵政局","上水石湖墟新豐路112至116號","NORTH","北區","9:00 a.m. - 6:00 p.m. Mon to Fri<br>9:00 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時至下午六時<br>星期六上午九時至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>Bulk Posting Acceptance & Circular Service<br>P.O. Box<br>Philately","一般郵政服務<br>大量投寄 & 通函郵寄服務<br>郵政信箱<br>集郵","","","840478.0","831091.0","22.50392","114.12656","2009-03-09 20:24:46"
"splYEMJXgv","Post Offices","Tai Po Post Office","G/F, Tai Po Government Office Building, 1 Ting Kok Road","郵政局","大埔郵政局","汀角路1號大埔政府合署地下","TAI PO","大埔區","9:00 a.m. - 5:00 p.m. Mon to Fri<br>9:00 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時至下午五時<br>星期六上午九時至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>Bulk Posting Acceptance & Circular Service<br>P.O. Box<br>Philately","一般郵政服務<br>大量投寄 & 通函郵寄服務<br>郵政信箱<br>集郵","","","834607.0","834964.0","22.45091","114.16421","2009-03-09 20:24:46"
"SbVCbhxk7e","Post Offices","Sai Kung Post Office","G/F, Sai Kung Government Offices Bldg., 34 Chan Man Street, Sai Kung","郵政局","西貢郵政局","西貢親民街34號西貢政府合署地下","SAI KUNG","西貢區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>Bulk Posting Acceptance & Circular Service<br>P.O. Box<br>Philately","一般郵政服務<br>大量投寄 & 通函郵寄服務<br>郵政信箱<br>集郵","","","827005.0","846098.0","22.38223","114.27233","2009-03-09 20:24:46"
"x92BvVkSLC","Post Offices","Gillies Avenue Post Office","G/F, 140 Gillies Avenue North, Hung Hom","郵政局","機利士路郵政局","紅磡機利士北路140號地下","KOWLOON CITY","九龍城區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>Bulk Posting Acceptance & Circular Service<br>P.O. Box<br>Philately","一般郵政服務<br>大量投寄 & 通函郵寄服務<br>郵政信箱<br>集郵","","","819184.0","837334.0","22.31163","114.18722","2009-03-09 20:24:46"
"jzd2QdpbFY","Post Offices","Tuen Mun Central Post Office","Podium Level, Library and Post Office Building, 1 Tuen Hi Road, Tuen Mun","郵政局","屯門中央郵政局","屯門屯喜路1號圖書館及郵政局大樓平台","TUEN MUN","屯門區","9:00 a.m. - 5:00 p.m. Mon to Fri<br>9:00 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時至下午五時<br>星期六上午九時至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>Bulk Posting Acceptance & Circular Service<br>P.O. Box<br>Philately","一般郵政服務<br>大量投寄 & 通函郵寄服務<br>郵政信箱<br>集郵","","","827971.0","815660.0","22.39086","113.97675","2009-03-09 20:24:46"
"Yz9b194N7g","Post Offices","Kowloon Central Post Office","G/F, Kowloon Government Offices, 405 Nathan Road, Yau Ma Tei","郵政局","九龍中央郵政局","油麻地彌敦道405號九龍政府合署地下","YAU TSIM MONG","油尖旺區","9:30 a.m. - 6:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午六時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>Bulk Posting Acceptance & Circular Service<br>P.O. Box<br>Philately","一般郵政服務<br>大量投寄 & 通函郵寄服務<br>郵政信箱<br>集郵","","","818941.0","835659.0","22.30944","114.17096","2009-03-09 20:24:46"
"eHZgIayGwI","Post Offices","Kwong Wa Street Post Office","Shop No. 11-14, G/F, Kwong Fai Mansion, 3-13 Kwong Wa Street, Mong Kok","郵政局","廣華街郵政局","旺角廣華街3至13號廣輝大廈地下11至14號舖位","YAU TSIM MONG","油尖旺區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>Philately","一般郵政服務<br>集郵","","","819740.0","835892.0","22.31665","114.17322","2009-03-09 20:24:46"
"LHveNy2TNo","Post Offices","Kowloon City Post Office","G/F, 28 Lung Kong Road, Kowloon City","郵政局","九龍城郵政局","九龍城龍崗道28號地下","KOWLOON CITY","九龍城區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>Bulk Posting Acceptance & Circular Service<br>P.O. Box<br>Philately","一般郵政服務<br>大量投寄 & 通函郵寄服務<br>郵政信箱<br>集郵","","","821173.0","837680.0","22.32959","114.19058","2009-03-09 20:24:46"
"i5QvUewCqu","Post Offices","To Kwa Wan Post Office","Arcade Shop D, G/F, Hang Chien Court, Wyler Garden, 108, Mei King Street, To Kwa Wan","郵政局","土瓜灣郵政局","土瓜灣美景街108號偉恆昌新村恆景閣地下商舖D","KOWLOON CITY","九龍城區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>P.O. Box<br>Philately","一般郵政服務<br>郵政信箱<br>集郵","","","819899.0","837876.0","22.31809","114.19248","2009-03-09 20:24:46"
"mEioIkZIGl","Post Offices","Wong Tai Sin Post Office","Shop No. 2, G/F, Lung Lok House, Lower Wong Tai Sin Estate","郵政局","黃大仙郵政局","黃大仙下邨龍樂樓地下2號舖位","WONG TAI SIN","黃大仙區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","","","822455.0","837875.0","22.34117","114.19247","2009-03-09 20:24:46"
"afrXd1oF6h","Post Offices","Mong Kok Post Office","1/F, Mongkok Exchange, 37 Bute Street, Mong Kok","郵政局","旺角郵政局","旺角弼街37號旺角機樓1樓","YAU TSIM MONG","油尖旺區","9:30 a.m. - 6:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午六時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>P.O. Box<br>Philately","一般郵政服務<br>郵政信箱<br>集郵","","","820339.0","835372.0","22.32206","114.16818","2009-03-09 20:24:46"
"IMJkQtMESu","Post Offices","Sham Shui Po Post Office","G/F, 55 Un Chau Street","郵政局","深水埗郵政局","元洲街55號地下","SHAM SHUI PO","深水埗區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>P.O. Box<br>Philately","一般郵政服務<br>郵政信箱<br>集郵","","","821424.0","834894.0","22.33186","114.16354","2009-03-09 20:24:46"
"PVH2wfs35i","Post Offices","Lam Tin Post Office","Shop No.115, Kai Tin Shopping Centre, Kai Tin Estate, Lam Tin","郵政局","藍田郵政局","啟田邨啟田商場115號舖位","KWUN TONG","觀塘區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","","","818857.0","842251.0","22.30867","114.23494","2009-03-09 20:24:46"
"3PN6ShFJPy","Post Offices","Yeung Uk Road Post Office","Shop 15, 1/F, Indihome, 138 Yeung Uk Road, Tsuen Wan","郵政局","楊屋道郵政局","荃灣楊屋道138號樂悠居1樓15號舖","TSUEN WAN","荃灣區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","","","825231.0","830229.0","22.36623","114.11824","2009-03-09 20:24:46"
